Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
LiebmannH-M_RG-50.549.02.0015_Plateau_0@EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_1,LiebmannH-M_RG-50.549.02.0015_Plateau_15@EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_1,scene_copresence,EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_1,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,15,1,Directed,LiebmannH-M_RG-50.549.02.0015_Plateau,138,137,139,,,
LiebmannH-M_RG-50.549.02.0015_Plateau_0@EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_2,LiebmannH-M_RG-50.549.02.0015_Plateau_15@EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_2,dialogue,EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_2,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,15,1,Directed,LiebmannH-M_RG-50.549.02.0015_Plateau,138,137,139,,," I 'm going to join Hanne or to try to find Hanne , "
LiebmannH-M_RG-50.549.02.0015_Plateau_0@EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_3,LiebmannH-M_RG-50.549.02.0015_Plateau_19@EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_3,scene_copresence,EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,19,1,Undirected,LiebmannH-M_RG-50.549.02.0015_Plateau,93,92,94,,,
LiebmannH-M_RG-50.549.02.0015_Plateau_0@EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_4,LiebmannH-M_RG-50.549.02.0015_Plateau_20@EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_4,scene_copresence,EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_4,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,20,1,Undirected,LiebmannH-M_RG-50.549.02.0015_Plateau,93,92,94,,,
LiebmannH-M_RG-50.549.02.0015_Plateau_0@EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_5,LiebmannH-M_RG-50.549.02.0015_Plateau_21@EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_5,scene_copresence,EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_5,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,21,1,Undirected,LiebmannH-M_RG-50.549.02.0015_Plateau,93,92,94,,,
LiebmannH-M_RG-50.549.02.0015_Plateau_0@EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_6,LiebmannH-M_RG-50.549.02.0015_Plateau_32@EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_6,scene_copresence,EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_6,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,32,1,Undirected,LiebmannH-M_RG-50.549.02.0015_Plateau,3,2,4,,,
LiebmannH-M_RG-50.549.02.0015_Plateau_0@EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_7,LiebmannH-M_RG-50.549.02.0015_Plateau_33@EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_7,scene_copresence,EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_7,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,33,1,Undirected,LiebmannH-M_RG-50.549.02.0015_Plateau,3,2,4,,,
LiebmannH-M_RG-50.549.02.0015_Plateau_0@EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_8,LiebmannH-M_RG-50.549.02.0015_Plateau_33@EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_8,scene_copresence,EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_8,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,33,1,Undirected,LiebmannH-M_RG-50.549.02.0015_Plateau,4,3,5,,,
LiebmannH-M_RG-50.549.02.0015_Plateau_0@EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_9,LiebmannH-M_RG-50.549.02.0015_Plateau_34@EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_9,scene_copresence,EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_9,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,34,1,Undirected,LiebmannH-M_RG-50.549.02.0015_Plateau,3,2,4,,,
LiebmannH-M_RG-50.549.02.0015_Plateau_0@EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_10,LiebmannH-M_RG-50.549.02.0015_Plateau_34@EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_10,scene_copresence,EVT_LiebmannH-M_RG-50.549.02.0015_Plateau_10,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,34,1,Undirected,LiebmannH-M_RG-50.549.02.0015_Plateau,4,3,5,,,
